MASK-ch,f_c[kHz],f_b[kHz], masked
4827,11179.625 ,11181.938 ,1
4828,11181.938 ,11184.250 ,1
4829,11184.250 ,11186.563 ,1
4830,11186.563 ,11188.875 ,1
4831,11188.875 ,11191.188 ,0
4832,11191.188 ,11193.500 ,0
4833,11193.500 ,11195.813 ,0
4834,11195.813 ,11198.125 ,1
4835,11198.125 ,11200.438 ,1
4836,11200.438 ,11202.750 ,1
4837,11202.750 ,11205.063 ,1
4838,11205.063 ,11207.375 ,1
4839,11207.375 ,11209.688 ,0
4840,11209.688 ,11212.000 ,0
4841,11212.000 ,11214.313 ,0
4842,11214.313 ,11216.625 ,0
4843,11216.625 ,11218.938 ,0
4844,11218.938 ,11221.250 ,0
4845,11221.250 ,11223.563 ,0
4846,11223.563 ,11225.875 ,0
4847,11225.875 ,11228.188 ,0
4848,11228.188 ,11230.500 ,0
4849,11230.500 ,11232.813 ,0
4850,11232.813 ,11235.125 ,0
4851,11235.125 ,11237.438 ,0
4852,11237.438 ,11239.750 ,0
4853,11239.750 ,11242.063 ,0
4854,11242.063 ,11244.375 ,0
4855,11244.375 ,11246.688 ,0
4856,11246.688 ,11249.000 ,0
4857,11249.000 ,11251.313 ,1
4858,11251.313 ,11253.625 ,1
4859,11253.625 ,11255.938 ,0
4860,11255.938 ,11258.250 ,0
4861,11258.250 ,11260.563 ,0
4862,11260.563 ,11262.875 ,0
4863,11262.875 ,11265.188 ,0
4864,11265.188 ,11267.500 ,0
4865,11267.500 ,11269.813 ,0
4866,11269.813 ,11272.125 ,1
4867,11272.125 ,11274.438 ,1
4868,11274.438 ,11276.750 ,1
4869,11276.750 ,11279.063 ,0
4870,11279.063 ,11281.375 ,0
4871,11281.375 ,11283.688 ,0
4872,11283.688 ,11286.000 ,0
4873,11286.000 ,11288.313 ,0
4874,11288.313 ,11290.625 ,0
4875,11290.625 ,11292.938 ,0
4876,11292.938 ,11295.250 ,0
4877,11295.250 ,11297.563 ,0
4878,11297.563 ,11299.875 ,1
4879,11299.875 ,11302.188 ,1
4880,11302.188 ,11304.500 ,1
4881,11304.500 ,11306.813 ,0
4882,11306.813 ,11309.125 ,0
4883,11309.125 ,11311.438 ,0
4884,11311.438 ,11313.750 ,0
4885,11313.750 ,11316.063 ,0
4886,11316.063 ,11318.375 ,0
4887,11318.375 ,11320.688 ,0
4888,11320.688 ,11323.000 ,0
4889,11323.000 ,11325.313 ,0
4890,11325.313 ,11327.625 ,1
4891,11327.625 ,11329.938 ,1
4892,11329.938 ,11332.250 ,0
4893,11332.250 ,11334.563 ,0
4894,11334.563 ,11336.875 ,0
4895,11336.875 ,11339.188 ,0
4896,11339.188 ,11341.500 ,0
4897,11341.500 ,11343.813 ,0
4898,11343.813 ,11346.125 ,0
4899,11346.125 ,11348.438 ,1
4900,11348.438 ,11350.750 ,1
4901,11350.750 ,11353.063 ,1
4902,11353.063 ,11355.375 ,1
4903,11355.375 ,11357.688 ,1
4904,11357.688 ,11360.000 ,0
4905,11360.000 ,11362.313 ,0
4906,11362.313 ,11364.625 ,0
4907,11364.625 ,11366.938 ,0
4908,11366.938 ,11369.250 ,0
4909,11369.250 ,11371.563 ,0
4910,11371.563 ,11373.875 ,0
4911,11373.875 ,11376.188 ,1
4912,11376.188 ,11378.500 ,0
4913,11378.500 ,11380.813 ,0
4914,11380.813 ,11383.125 ,0
4915,11383.125 ,11385.438 ,0
4916,11385.438 ,11387.750 ,0
4917,11387.750 ,11390.063 ,0
4918,11390.063 ,11392.375 ,0
4919,11392.375 ,11394.688 ,0
4920,11394.688 ,11397.000 ,0
4921,11397.000 ,11399.313 ,1
4922,11399.313 ,11401.625 ,1
4923,11401.625 ,11403.938 ,1
4924,11403.938 ,11406.250 ,1
4925,11406.250 ,11408.563 ,0
4926,11408.563 ,11410.875 ,0
4927,11410.875 ,11413.188 ,0
4928,11413.188 ,11415.500 ,0
4929,11415.500 ,11417.813 ,0
4930,11417.813 ,11420.125 ,0
4931,11420.125 ,11422.438 ,0
4932,11422.438 ,11424.750 ,0
4933,11424.750 ,11427.063 ,0
4934,11427.063 ,11429.375 ,0
4935,11429.375 ,11431.688 ,0
4936,11431.688 ,11434.000 ,0
4937,11434.000 ,11436.313 ,0
4938,11436.313 ,11438.625 ,0
4939,11438.625 ,11440.938 ,0
4940,11440.938 ,11443.250 ,0
4941,11443.250 ,11445.563 ,0
4942,11445.563 ,11447.875 ,0
4943,11447.875 ,11450.188 ,1
4944,11450.188 ,11452.500 ,1
4945,11452.500 ,11454.813 ,0
4946,11454.813 ,11457.125 ,0
4947,11457.125 ,11459.438 ,0
4948,11459.438 ,11461.750 ,0
4949,11461.750 ,11464.063 ,0
4950,11464.063 ,11466.375 ,0
4951,11466.375 ,11468.688 ,0
4952,11468.688 ,11471.000 ,0
4953,11471.000 ,11473.313 ,0
4954,11473.313 ,11475.625 ,1
4955,11475.625 ,11477.938 ,1
4956,11477.938 ,11480.250 ,0
4957,11480.250 ,11482.563 ,0
4958,11482.563 ,11484.875 ,0
4959,11484.875 ,11487.188 ,0
4960,11487.188 ,11489.500 ,0
4961,11489.500 ,11491.813 ,0
4962,11491.813 ,11494.125 ,0
4963,11494.125 ,11496.438 ,0
4964,11496.438 ,11498.750 ,0
4965,11498.750 ,11501.063 ,1
4966,11501.063 ,11503.375 ,0
4967,11503.375 ,11505.688 ,0
4968,11505.688 ,11508.000 ,0
4969,11508.000 ,11510.313 ,0
4970,11510.313 ,11512.625 ,0
4971,11512.625 ,11514.938 ,0
4972,11514.938 ,11517.250 ,0
4973,11517.250 ,11519.563 ,0
4974,11519.563 ,11521.875 ,0
4975,11521.875 ,11524.188 ,0
4976,11524.188 ,11526.500 ,1
4977,11526.500 ,11528.813 ,1
4978,11528.813 ,11531.125 ,1
4979,11531.125 ,11533.438 ,0
4980,11533.438 ,11535.750 ,0
4981,11535.750 ,11538.063 ,0
4982,11538.063 ,11540.375 ,0
4983,11540.375 ,11542.688 ,0
4984,11542.688 ,11545.000 ,0
4985,11545.000 ,11547.313 ,0
4986,11547.313 ,11549.625 ,1
4987,11549.625 ,11551.938 ,1
4988,11551.938 ,11554.250 ,1
4989,11554.250 ,11556.563 ,0
4990,11556.563 ,11558.875 ,0
4991,11558.875 ,11561.188 ,0
4992,11561.188 ,11563.500 ,0
4993,11563.500 ,11565.813 ,0
4994,11565.813 ,11568.125 ,0
4995,11568.125 ,11570.438 ,0
4996,11570.438 ,11572.750 ,0
4997,11572.750 ,11575.063 ,1
4998,11575.063 ,11577.375 ,0
4999,11577.375 ,11579.688 ,0
5000,11579.688 ,11582.000 ,0
5001,11582.000 ,11584.313 ,0
5002,11584.313 ,11586.625 ,0
5003,11586.625 ,11588.938 ,0
5004,11588.938 ,11591.250 ,0
5005,11591.250 ,11593.563 ,0
5006,11593.563 ,11595.875 ,0
5007,11595.875 ,11598.188 ,1
5008,11598.188 ,11600.500 ,1
5009,11600.500 ,11602.813 ,1
5010,11602.813 ,11605.125 ,1
5011,11605.125 ,11607.438 ,1
5012,11607.438 ,11609.750 ,0
5013,11609.750 ,11612.063 ,0
5014,11612.063 ,11614.375 ,0
5015,11614.375 ,11616.688 ,0
5016,11616.688 ,11619.000 ,0
5017,11619.000 ,11621.313 ,0
5018,11621.313 ,11623.625 ,0
5019,11623.625 ,11625.938 ,0
5020,11625.938 ,11628.250 ,0
5021,11628.250 ,11630.563 ,0
5022,11630.563 ,11632.875 ,0
5023,11632.875 ,11635.188 ,0
5024,11635.188 ,11637.500 ,1
5025,11637.500 ,11639.813 ,0
5026,11639.813 ,11642.125 ,0
5027,11642.125 ,11644.438 ,0
5028,11644.438 ,11646.750 ,0
5029,11646.750 ,11649.063 ,0
5030,11649.063 ,11651.375 ,1
5031,11651.375 ,11653.688 ,1
5032,11653.688 ,11656.000 ,1
5033,11656.000 ,11658.313 ,0
5034,11658.313 ,11660.625 ,0
5035,11660.625 ,11662.938 ,0
5036,11662.938 ,11665.250 ,0
5037,11665.250 ,11667.563 ,0
5038,11667.563 ,11669.875 ,0
5039,11669.875 ,11672.188 ,0
5040,11672.188 ,11674.500 ,1
5041,11674.500 ,11676.813 ,0
5042,11676.813 ,11679.125 ,0
5043,11679.125 ,11681.438 ,0
5044,11681.438 ,11683.750 ,0
5045,11683.750 ,11686.063 ,0
5046,11686.063 ,11688.375 ,0
5047,11688.375 ,11690.688 ,0
5048,11690.688 ,11693.000 ,0
5049,11693.000 ,11695.313 ,0
5050,11695.313 ,11697.625 ,0
5051,11697.625 ,11699.938 ,0
5052,11699.938 ,11702.250 ,1
5053,11702.250 ,11704.563 ,1
5054,11704.563 ,11706.875 ,0
5055,11706.875 ,11709.188 ,0
5056,11709.188 ,11711.500 ,0
5057,11711.500 ,11713.813 ,0
5058,11713.813 ,11716.125 ,0
5059,11716.125 ,11718.438 ,0
5060,11718.438 ,11720.750 ,0
5061,11720.750 ,11723.063 ,0
5062,11723.063 ,11725.375 ,0
5063,11725.375 ,11727.688 ,1
5064,11727.688 ,11730.000 ,1
5065,11730.000 ,11732.313 ,0
5066,11732.313 ,11734.625 ,0
5067,11734.625 ,11736.938 ,0
5068,11736.938 ,11739.250 ,0
5069,11739.250 ,11741.563 ,0
5070,11741.563 ,11743.875 ,0
5071,11743.875 ,11746.188 ,1
5072,11746.188 ,11748.500 ,1
5073,11748.500 ,11750.813 ,1
5074,11750.813 ,11753.125 ,1
5075,11753.125 ,11755.438 ,1
5076,11755.438 ,11757.750 ,0
5077,11757.750 ,11760.063 ,0
5078,11760.063 ,11762.375 ,0
5079,11762.375 ,11764.688 ,0
5080,11764.688 ,11767.000 ,0
5081,11767.000 ,11769.313 ,0
5082,11769.313 ,11771.625 ,0
5083,11771.625 ,11773.938 ,0
5084,11773.938 ,11776.250 ,0
5085,11776.250 ,11778.563 ,0
5086,11778.563 ,11780.875 ,0
5087,11780.875 ,11783.188 ,0
5088,11783.188 ,11785.500 ,0
5089,11785.500 ,11787.813 ,0
5090,11787.813 ,11790.125 ,0
5091,11790.125 ,11792.438 ,0
5092,11792.438 ,11794.750 ,0
5093,11794.750 ,11797.063 ,0
5094,11797.063 ,11799.375 ,1
5095,11799.375 ,11801.688 ,1
5096,11801.688 ,11804.000 ,1
5097,11804.000 ,11806.313 ,1
5098,11806.313 ,11808.625 ,0
5099,11808.625 ,11810.938 ,0
5100,11810.938 ,11813.250 ,0
5101,11813.250 ,11815.563 ,1
5102,11815.563 ,11817.875 ,1
5103,11817.875 ,11820.188 ,1
5104,11820.188 ,11822.500 ,1
5105,11822.500 ,11824.813 ,0
5106,11824.813 ,11827.125 ,0
5107,11827.125 ,11829.438 ,0
5108,11829.438 ,11831.750 ,0
5109,11831.750 ,11834.063 ,0
5110,11834.063 ,11836.375 ,0
5111,11836.375 ,11838.688 ,0
5112,11838.688 ,11841.000 ,0
5113,11841.000 ,11843.313 ,0
5114,11843.313 ,11845.625 ,0
5115,11845.625 ,11847.938 ,1
5116,11847.938 ,11850.250 ,1
5117,11850.250 ,11852.563 ,1
5118,11852.563 ,11854.875 ,1
5119,11854.875 ,11857.188 ,1
5120,11857.188 ,11859.500 ,0
5121,11859.500 ,11861.813 ,0
5122,11861.813 ,11864.125 ,0
5123,11864.125 ,11866.438 ,0
5124,11866.438 ,11868.750 ,0
5125,11868.750 ,11871.063 ,0
5126,11871.063 ,11873.375 ,1
5127,11873.375 ,11875.688 ,1
5128,11875.688 ,11878.000 ,1
5129,11878.000 ,11880.313 ,0
5130,11880.313 ,11882.625 ,0
5131,11882.625 ,11884.938 ,0
5132,11884.938 ,11887.250 ,0
5133,11887.250 ,11889.563 ,0
5134,11889.563 ,11891.875 ,0
5135,11891.875 ,11894.188 ,1
5136,11894.188 ,11896.500 ,0
5137,11896.500 ,11898.813 ,0
5138,11898.813 ,11901.125 ,1
5139,11901.125 ,11903.438 ,1
5140,11903.438 ,11905.750 ,1
5141,11905.750 ,11908.063 ,0
5142,11908.063 ,11910.375 ,0
5143,11910.375 ,11912.688 ,0
5144,11912.688 ,11915.000 ,0
5145,11915.000 ,11917.313 ,0
5146,11917.313 ,11919.625 ,0
5147,11919.625 ,11921.938 ,0
5148,11921.938 ,11924.250 ,0
5149,11924.250 ,11926.563 ,1
5150,11926.563 ,11928.875 ,1
5151,11928.875 ,11931.188 ,1
5152,11931.188 ,11933.500 ,1
5153,11933.500 ,11935.813 ,0
5154,11935.813 ,11938.125 ,0
5155,11938.125 ,11940.438 ,0
5156,11940.438 ,11942.750 ,0
5157,11942.750 ,11945.063 ,1
5158,11945.063 ,11947.375 ,1
5159,11947.375 ,11949.688 ,1
5160,11949.688 ,11952.000 ,1
5161,11952.000 ,11954.313 ,1
5162,11954.313 ,11956.625 ,0
5163,11956.625 ,11958.938 ,0
5164,11958.938 ,11961.250 ,0
5165,11961.250 ,11963.563 ,0
5166,11963.563 ,11965.875 ,0
5167,11965.875 ,11968.188 ,0
5168,11968.188 ,11970.500 ,0
5169,11970.500 ,11972.813 ,0
5170,11972.813 ,11975.125 ,0
5171,11975.125 ,11977.438 ,0
5172,11977.438 ,11979.750 ,0
5173,11979.750 ,11982.063 ,0
5174,11982.063 ,11984.375 ,0
5175,11984.375 ,11986.688 ,0
5176,11986.688 ,11989.000 ,0
5177,11989.000 ,11991.313 ,0
5178,11991.313 ,11993.625 ,0
5179,11993.625 ,11995.938 ,1
5180,11995.938 ,11998.250 ,1
5181,11998.250 ,12000.563 ,1
5182,12000.563 ,12002.875 ,1
5183,12002.875 ,12005.188 ,1
5184,12005.188 ,12007.500 ,1
5185,12007.500 ,12009.813 ,0
5186,12009.813 ,12012.125 ,0
5187,12012.125 ,12014.438 ,0
5188,12014.438 ,12016.750 ,0
5189,12016.750 ,12019.063 ,0
5190,12019.063 ,12021.375 ,0
5191,12021.375 ,12023.688 ,0
5192,12023.688 ,12026.000 ,0
5193,12026.000 ,12028.313 ,0
5194,12028.313 ,12030.625 ,0
5195,12030.625 ,12032.938 ,0
5196,12032.938 ,12035.250 ,0
5197,12035.250 ,12037.563 ,0
5198,12037.563 ,12039.875 ,0
5199,12039.875 ,12042.188 ,0
5200,12042.188 ,12044.500 ,0
5201,12044.500 ,12046.813 ,0
5202,12046.813 ,12049.125 ,0
5203,12049.125 ,12051.438 ,1
5204,12051.438 ,12053.750 ,1
5205,12053.750 ,12056.063 ,0
5206,12056.063 ,12058.375 ,0
5207,12058.375 ,12060.688 ,0
5208,12060.688 ,12063.000 ,0
5209,12063.000 ,12065.313 ,0
5210,12065.313 ,12067.625 ,0
5211,12067.625 ,12069.938 ,0
5212,12069.938 ,12072.250 ,0
5213,12072.250 ,12074.563 ,1
5214,12074.563 ,12076.875 ,1
5215,12076.875 ,12079.188 ,0
5216,12079.188 ,12081.500 ,0
5217,12081.500 ,12083.813 ,0
5218,12083.813 ,12086.125 ,0
5219,12086.125 ,12088.438 ,0
5220,12088.438 ,12090.750 ,0
5221,12090.750 ,12093.063 ,0
5222,12093.063 ,12095.375 ,0
5223,12095.375 ,12097.688 ,0
5224,12097.688 ,12100.000 ,1
5225,12100.000 ,12102.313 ,1
5226,12102.313 ,12104.625 ,0
5227,12104.625 ,12106.938 ,0
5228,12106.938 ,12109.250 ,0
5229,12109.250 ,12111.563 ,0
5230,12111.563 ,12113.875 ,0
5231,12113.875 ,12116.188 ,0
5232,12116.188 ,12118.500 ,0
5233,12118.500 ,12120.813 ,0
5234,12120.813 ,12123.125 ,0
5235,12123.125 ,12125.438 ,0
5236,12125.438 ,12127.750 ,1
5237,12127.750 ,12130.063 ,1
5238,12130.063 ,12132.375 ,0
5239,12132.375 ,12134.688 ,0
5240,12134.688 ,12137.000 ,0
5241,12137.000 ,12139.313 ,0
5242,12139.313 ,12141.625 ,0
5243,12141.625 ,12143.938 ,0
5244,12143.938 ,12146.250 ,1
5245,12146.250 ,12148.563 ,1
5246,12148.563 ,12150.875 ,1
5247,12150.875 ,12153.188 ,1
5248,12153.188 ,12155.500 ,1
5249,12155.500 ,12157.813 ,0
5250,12157.813 ,12160.125 ,0
5251,12160.125 ,12162.438 ,0
5252,12162.438 ,12164.750 ,0
5253,12164.750 ,12167.063 ,0
5254,12167.063 ,12169.375 ,0
5255,12169.375 ,12171.688 ,0
5256,12171.688 ,12174.000 ,1
5257,12174.000 ,12176.313 ,1
5258,12176.313 ,12178.625 ,1
5259,12178.625 ,12180.938 ,0
5260,12180.938 ,12183.250 ,0
5261,12183.250 ,12185.563 ,1
5262,12185.563 ,12187.875 ,1
5263,12187.875 ,12190.188 ,1
5264,12190.188 ,12192.500 ,1
5265,12192.500 ,12194.813 ,0
5266,12194.813 ,12197.125 ,0
5267,12197.125 ,12199.438 ,1
5268,12199.438 ,12201.750 ,1
5269,12201.750 ,12204.063 ,1
5270,12204.063 ,12206.375 ,1
5271,12206.375 ,12208.688 ,0
5272,12208.688 ,12211.000 ,0
5273,12211.000 ,12213.313 ,0
5274,12213.313 ,12215.625 ,0
5275,12215.625 ,12217.938 ,0
5276,12217.938 ,12220.250 ,0
5277,12220.250 ,12222.563 ,0
5278,12222.563 ,12224.875 ,0
5279,12224.875 ,12227.188 ,0
5280,12227.188 ,12229.500 ,0
5281,12229.500 ,12231.813 ,0
5282,12231.813 ,12234.125 ,0
5283,12234.125 ,12236.438 ,0
5284,12236.438 ,12238.750 ,0
5285,12238.750 ,12241.063 ,0
5286,12241.063 ,12243.375 ,0
5287,12243.375 ,12245.688 ,0
5288,12245.688 ,12248.000 ,0
5289,12248.000 ,12250.313 ,1
5290,12250.313 ,12252.625 ,1
5291,12252.625 ,12254.938 ,1
5292,12254.938 ,12257.250 ,0
5293,12257.250 ,12259.563 ,0
5294,12259.563 ,12261.875 ,0
5295,12261.875 ,12264.188 ,0
5296,12264.188 ,12266.500 ,0
5297,12266.500 ,12268.813 ,0
5298,12268.813 ,12271.125 ,0
5299,12271.125 ,12273.438 ,1
5300,12273.438 ,12275.750 ,1
5301,12275.750 ,12278.063 ,1
5302,12278.063 ,12280.375 ,0
5303,12280.375 ,12282.688 ,0
5304,12282.688 ,12285.000 ,0
5305,12285.000 ,12287.313 ,0
5306,12287.313 ,12289.625 ,0
5307,12289.625 ,12291.938 ,0
5308,12291.938 ,12294.250 ,0
5309,12294.250 ,12296.563 ,0
5310,12296.563 ,12298.875 ,0
5311,12298.875 ,12301.188 ,1
5312,12301.188 ,12303.500 ,1
5313,12303.500 ,12305.813 ,1
5314,12305.813 ,12308.125 ,0
5315,12308.125 ,12310.438 ,0
5316,12310.438 ,12312.750 ,0
5317,12312.750 ,12315.063 ,0
5318,12315.063 ,12317.375 ,0
5319,12317.375 ,12319.688 ,0
5320,12319.688 ,12322.000 ,0
5321,12322.000 ,12324.313 ,0
5322,12324.313 ,12326.625 ,0
5323,12326.625 ,12328.938 ,1
5324,12328.938 ,12331.250 ,1
5325,12331.250 ,12333.563 ,0
5326,12333.563 ,12335.875 ,0
5327,12335.875 ,12338.188 ,0
5328,12338.188 ,12340.500 ,0
5329,12340.500 ,12342.813 ,0
5330,12342.813 ,12345.125 ,1
5331,12345.125 ,12347.438 ,1
5332,12347.438 ,12349.750 ,1
5333,12349.750 ,12352.063 ,1
5334,12352.063 ,12354.375 ,1
5335,12354.375 ,12356.688 ,0
5336,12356.688 ,12359.000 ,0
5337,12359.000 ,12361.313 ,0
5338,12361.313 ,12363.625 ,0
5339,12363.625 ,12365.938 ,0
5340,12365.938 ,12368.250 ,0
5341,12368.250 ,12370.563 ,0
5342,12370.563 ,12372.875 ,0
5343,12372.875 ,12375.188 ,0
5344,12375.188 ,12377.500 ,0
5345,12377.500 ,12379.813 ,0
5346,12379.813 ,12382.125 ,0
5347,12382.125 ,12384.438 ,0
5348,12384.438 ,12386.750 ,0
5349,12386.750 ,12389.063 ,0
5350,12389.063 ,12391.375 ,0
5351,12391.375 ,12393.688 ,0
5352,12393.688 ,12396.000 ,0
5353,12396.000 ,12398.313 ,1
5354,12398.313 ,12400.625 ,1
5355,12400.625 ,12402.938 ,1
5356,12402.938 ,12405.250 ,1
5357,12405.250 ,12407.563 ,1
5358,12407.563 ,12409.875 ,0
5359,12409.875 ,12412.188 ,0
5360,12412.188 ,12414.500 ,0
5361,12414.500 ,12416.813 ,0
5362,12416.813 ,12419.125 ,0
5363,12419.125 ,12421.438 ,0
5364,12421.438 ,12423.750 ,0
5365,12423.750 ,12426.063 ,0
5366,12426.063 ,12428.375 ,0
5367,12428.375 ,12430.688 ,1
5368,12430.688 ,12433.000 ,0
5369,12433.000 ,12435.313 ,0
5370,12435.313 ,12437.625 ,0
5371,12437.625 ,12439.938 ,0
5372,12439.938 ,12442.250 ,0
5373,12442.250 ,12444.563 ,0
5374,12444.563 ,12446.875 ,0
5375,12446.875 ,12449.188 ,0
5376,12449.188 ,12451.500 ,1
5377,12451.500 ,12453.813 ,1
5378,12453.813 ,12456.125 ,0
5379,12456.125 ,12458.438 ,0
5380,12458.438 ,12460.750 ,0
5381,12460.750 ,12463.063 ,0
5382,12463.063 ,12465.375 ,0
5383,12465.375 ,12467.688 ,0
5384,12467.688 ,12470.000 ,0
5385,12470.000 ,12472.313 ,1
5386,12472.313 ,12474.625 ,1
5387,12474.625 ,12476.938 ,1
5388,12476.938 ,12479.250 ,0
5389,12479.250 ,12481.563 ,0
5390,12481.563 ,12483.875 ,0
5391,12483.875 ,12486.188 ,0
5392,12486.188 ,12488.500 ,0
5393,12488.500 ,12490.813 ,0
5394,12490.813 ,12493.125 ,0
5395,12493.125 ,12495.438 ,0
5396,12495.438 ,12497.750 ,0
5397,12497.750 ,12500.063 ,1
5398,12500.063 ,12502.375 ,1
5399,12502.375 ,12504.688 ,1
5400,12504.688 ,12507.000 ,0
5401,12507.000 ,12509.313 ,0
5402,12509.313 ,12511.625 ,0
5403,12511.625 ,12513.938 ,0
5404,12513.938 ,12516.250 ,0
5405,12516.250 ,12518.563 ,0
5406,12518.563 ,12520.875 ,0
5407,12520.875 ,12523.188 ,0
5408,12523.188 ,12525.500 ,0
5409,12525.500 ,12527.813 ,1
5410,12527.813 ,12530.125 ,1
5411,12530.125 ,12532.438 ,0
5412,12532.438 ,12534.750 ,0
5413,12534.750 ,12537.063 ,0
5414,12537.063 ,12539.375 ,0
5415,12539.375 ,12541.688 ,1
5416,12541.688 ,12544.000 ,1
5417,12544.000 ,12546.313 ,1
5418,12546.313 ,12548.625 ,1
5419,12548.625 ,12550.938 ,1
5420,12550.938 ,12553.250 ,1
5421,12553.250 ,12555.563 ,0
5422,12555.563 ,12557.875 ,0
5423,12557.875 ,12560.188 ,0
5424,12560.188 ,12562.500 ,0
5425,12562.500 ,12564.813 ,0
5426,12564.813 ,12567.125 ,0
5427,12567.125 ,12569.438 ,0
5428,12569.438 ,12571.750 ,0
5429,12571.750 ,12574.063 ,0
5430,12574.063 ,12576.375 ,0
5431,12576.375 ,12578.688 ,0
5432,12578.688 ,12581.000 ,0
5433,12581.000 ,12583.313 ,0
5434,12583.313 ,12585.625 ,0
5435,12585.625 ,12587.938 ,0
5436,12587.938 ,12590.250 ,0
5437,12590.250 ,12592.563 ,0
5438,12592.563 ,12594.875 ,0
5439,12594.875 ,12597.188 ,0
5440,12597.188 ,12599.500 ,1
5441,12599.500 ,12601.813 ,1
5442,12601.813 ,12604.125 ,1
5443,12604.125 ,12606.438 ,1
5444,12606.438 ,12608.750 ,0
5445,12608.750 ,12611.063 ,0
5446,12611.063 ,12613.375 ,0
5447,12613.375 ,12615.688 ,0
5448,12615.688 ,12618.000 ,0
5449,12618.000 ,12620.313 ,0
5450,12620.313 ,12622.625 ,0
5451,12622.625 ,12624.938 ,0
5452,12624.938 ,12627.250 ,0
5453,12627.250 ,12629.563 ,0
5454,12629.563 ,12631.875 ,0
5455,12631.875 ,12634.188 ,0
5456,12634.188 ,12636.500 ,0
5457,12636.500 ,12638.813 ,0
5458,12638.813 ,12641.125 ,0
5459,12641.125 ,12643.438 ,0
5460,12643.438 ,12645.750 ,0
5461,12645.750 ,12648.063 ,0
5462,12648.063 ,12650.375 ,1
5463,12650.375 ,12652.688 ,1
5464,12652.688 ,12655.000 ,1
5465,12655.000 ,12657.313 ,0
5466,12657.313 ,12659.625 ,0
5467,12659.625 ,12661.938 ,0
5468,12661.938 ,12664.250 ,0
5469,12664.250 ,12666.563 ,0
5470,12666.563 ,12668.875 ,0
5471,12668.875 ,12671.188 ,0
5472,12671.188 ,12673.500 ,0
5473,12673.500 ,12675.813 ,1
5474,12675.813 ,12678.125 ,1
5475,12678.125 ,12680.438 ,0
5476,12680.438 ,12682.750 ,0
5477,12682.750 ,12685.063 ,0
5478,12685.063 ,12687.375 ,0
5479,12687.375 ,12689.688 ,0
5480,12689.688 ,12692.000 ,0
5481,12692.000 ,12694.313 ,0
5482,12694.313 ,12696.625 ,0
5483,12696.625 ,12698.938 ,0
5484,12698.938 ,12701.250 ,1
5485,12701.250 ,12703.563 ,1
5486,12703.563 ,12705.875 ,0
5487,12705.875 ,12708.188 ,0
5488,12708.188 ,12710.500 ,0
5489,12710.500 ,12712.813 ,0
5490,12712.813 ,12715.125 ,0
5491,12715.125 ,12717.438 ,0
5492,12717.438 ,12719.750 ,0
5493,12719.750 ,12722.063 ,0
5494,12722.063 ,12724.375 ,0
5495,12724.375 ,12726.688 ,0
5496,12726.688 ,12729.000 ,0
5497,12729.000 ,12731.313 ,0
5498,12731.313 ,12733.625 ,0
5499,12733.625 ,12735.938 ,0
5500,12735.938 ,12738.250 ,0
5501,12738.250 ,12740.563 ,0
5502,12740.563 ,12742.875 ,0
5503,12742.875 ,12745.188 ,1
5504,12745.188 ,12747.500 ,1
5505,12747.500 ,12749.813 ,1
5506,12749.813 ,12752.125 ,1
5507,12752.125 ,12754.438 ,1
5508,12754.438 ,12756.750 ,0
5509,12756.750 ,12759.063 ,0
5510,12759.063 ,12761.375 ,0
5511,12761.375 ,12763.688 ,0
5512,12763.688 ,12766.000 ,0
5513,12766.000 ,12768.313 ,0
5514,12768.313 ,12770.625 ,0
5515,12770.625 ,12772.938 ,0
5516,12772.938 ,12775.250 ,0
5517,12775.250 ,12777.563 ,0
5518,12777.563 ,12779.875 ,0
5519,12779.875 ,12782.188 ,0
5520,12782.188 ,12784.500 ,0
5521,12784.500 ,12786.813 ,0
5522,12786.813 ,12789.125 ,0
5523,12789.125 ,12791.438 ,0
5524,12791.438 ,12793.750 ,0
5525,12793.750 ,12796.063 ,0
5526,12796.063 ,12798.375 ,1
5527,12798.375 ,12800.688 ,1
5528,12800.688 ,12803.000 ,1
5529,12803.000 ,12805.313 ,1
5530,12805.313 ,12807.625 ,0
5531,12807.625 ,12809.938 ,0
5532,12809.938 ,12812.250 ,0
5533,12812.250 ,12814.563 ,0
5534,12814.563 ,12816.875 ,1
5535,12816.875 ,12819.188 ,1
5536,12819.188 ,12821.500 ,1
5537,12821.500 ,12823.813 ,0
5538,12823.813 ,12826.125 ,0
5539,12826.125 ,12828.438 ,0
5540,12828.438 ,12830.750 ,0
5541,12830.750 ,12833.063 ,0
5542,12833.063 ,12835.375 ,0
5543,12835.375 ,12837.688 ,0
5544,12837.688 ,12840.000 ,0
5545,12840.000 ,12842.313 ,0
5546,12842.313 ,12844.625 ,0
5547,12844.625 ,12846.938 ,0
5548,12846.938 ,12849.250 ,0
5549,12849.250 ,12851.563 ,1
5550,12851.563 ,12853.875 ,1
5551,12853.875 ,12856.188 ,0
5552,12856.188 ,12858.500 ,0
5553,12858.500 ,12860.813 ,0
5554,12860.813 ,12863.125 ,0
5555,12863.125 ,12865.438 ,0
5556,12865.438 ,12867.750 ,0
5557,12867.750 ,12870.063 ,0
5558,12870.063 ,12872.375 ,0
5559,12872.375 ,12874.688 ,1
5560,12874.688 ,12877.000 ,1
5561,12877.000 ,12879.313 ,1
