MASK-ch,f_c[kHz],f_b[kHz], masked
199,477.375 ,479.688 ,0
200,479.688 ,482.000 ,0
201,482.000 ,484.313 ,0
202,484.313 ,486.625 ,0
203,486.625 ,488.938 ,0
204,488.938 ,491.250 ,0
205,491.250 ,493.563 ,0
206,493.563 ,495.875 ,0
207,495.875 ,498.188 ,0
208,498.188 ,500.500 ,1
209,500.500 ,502.813 ,1
210,502.813 ,505.125 ,0
211,505.125 ,507.438 ,1
212,507.438 ,509.750 ,1
213,509.750 ,512.063 ,0
214,512.063 ,514.375 ,0
215,514.375 ,516.688 ,0
216,516.688 ,519.000 ,0
217,519.000 ,521.313 ,0
218,521.313 ,523.625 ,0
219,523.625 ,525.938 ,0
220,525.938 ,528.250 ,1
221,528.250 ,530.563 ,1
222,530.563 ,532.875 ,0
223,532.875 ,535.188 ,0
224,535.188 ,537.500 ,0
225,537.500 ,539.813 ,0
226,539.813 ,542.125 ,0
227,542.125 ,544.438 ,0
228,544.438 ,546.750 ,0
229,546.750 ,549.063 ,0
230,549.063 ,551.375 ,1
231,551.375 ,553.688 ,1
232,553.688 ,556.000 ,0
233,556.000 ,558.313 ,0
234,558.313 ,560.625 ,0
235,560.625 ,562.938 ,0
236,562.938 ,565.250 ,0
237,565.250 ,567.563 ,0
238,567.563 ,569.875 ,0
239,569.875 ,572.188 ,0
240,572.188 ,574.500 ,0
241,574.500 ,576.813 ,0
242,576.813 ,579.125 ,0
243,579.125 ,581.438 ,0
244,581.438 ,583.750 ,0
245,583.750 ,586.063 ,0
246,586.063 ,588.375 ,0
247,588.375 ,590.688 ,0
248,590.688 ,593.000 ,0
249,593.000 ,595.313 ,1
250,595.313 ,597.625 ,1
251,597.625 ,599.938 ,1
252,599.938 ,602.250 ,1
253,602.250 ,604.563 ,1
254,604.563 ,606.875 ,1
255,606.875 ,609.188 ,0
256,609.188 ,611.500 ,0
257,611.500 ,613.813 ,0
258,613.813 ,616.125 ,0
259,616.125 ,618.438 ,0
260,618.438 ,620.750 ,0
261,620.750 ,623.063 ,0
262,623.063 ,625.375 ,0
263,625.375 ,627.688 ,0
264,627.688 ,630.000 ,0
265,630.000 ,632.313 ,0
266,632.313 ,634.625 ,0
267,634.625 ,636.938 ,0
268,636.938 ,639.250 ,0
269,639.250 ,641.563 ,0
270,641.563 ,643.875 ,0
271,643.875 ,646.188 ,0
272,646.188 ,648.500 ,0
273,648.500 ,650.813 ,0
274,650.813 ,653.125 ,0
275,653.125 ,655.438 ,0
276,655.438 ,657.750 ,0
277,657.750 ,660.063 ,0
278,660.063 ,662.375 ,0
279,662.375 ,664.688 ,0
280,664.688 ,667.000 ,0
281,667.000 ,669.313 ,0
282,669.313 ,671.625 ,0
283,671.625 ,673.938 ,0
284,673.938 ,676.250 ,0
285,676.250 ,678.563 ,0
286,678.563 ,680.875 ,0
287,680.875 ,683.188 ,1
288,683.188 ,685.500 ,0
289,685.500 ,687.813 ,0
290,687.813 ,690.125 ,0
291,690.125 ,692.438 ,0
292,692.438 ,694.750 ,0
293,694.750 ,697.063 ,0
294,697.063 ,699.375 ,1
295,699.375 ,701.688 ,1
296,701.688 ,704.000 ,1
297,704.000 ,706.313 ,0
298,706.313 ,708.625 ,0
299,708.625 ,710.938 ,0
300,710.938 ,713.250 ,0
301,713.250 ,715.563 ,0
302,715.563 ,717.875 ,0
303,717.875 ,720.188 ,0
304,720.188 ,722.500 ,0
305,722.500 ,724.813 ,0
306,724.813 ,727.125 ,1
307,727.125 ,729.438 ,0
308,729.438 ,731.750 ,0
309,731.750 ,734.063 ,0
310,734.063 ,736.375 ,0
311,736.375 ,738.688 ,0
312,738.688 ,741.000 ,0
313,741.000 ,743.313 ,0
314,743.313 ,745.625 ,0
315,745.625 ,747.938 ,0
316,747.938 ,750.250 ,1
317,750.250 ,752.563 ,1
318,752.563 ,754.875 ,0
319,754.875 ,757.188 ,0
320,757.188 ,759.500 ,0
321,759.500 ,761.813 ,0
322,761.813 ,764.125 ,0
323,764.125 ,766.438 ,0
324,766.438 ,768.750 ,0
325,768.750 ,771.063 ,0
326,771.063 ,773.375 ,0
327,773.375 ,775.688 ,0
328,775.688 ,778.000 ,0
329,778.000 ,780.313 ,0
330,780.313 ,782.625 ,0
331,782.625 ,784.938 ,0
332,784.938 ,787.250 ,0
333,787.250 ,789.563 ,0
334,789.563 ,791.875 ,0
335,791.875 ,794.188 ,1
336,794.188 ,796.500 ,1
337,796.500 ,798.813 ,1
338,798.813 ,801.125 ,1
339,801.125 ,803.438 ,1
340,803.438 ,805.750 ,1
341,805.750 ,808.063 ,1
342,808.063 ,810.375 ,0
343,810.375 ,812.688 ,0
344,812.688 ,815.000 ,0
345,815.000 ,817.313 ,0
346,817.313 ,819.625 ,0
347,819.625 ,821.938 ,0
348,821.938 ,824.250 ,0
349,824.250 ,826.563 ,0
350,826.563 ,828.875 ,0
351,828.875 ,831.188 ,0
352,831.188 ,833.500 ,0
353,833.500 ,835.813 ,0
354,835.813 ,838.125 ,0
355,838.125 ,840.438 ,0
356,840.438 ,842.750 ,0
357,842.750 ,845.063 ,0
358,845.063 ,847.375 ,0
359,847.375 ,849.688 ,0
360,849.688 ,852.000 ,1
361,852.000 ,854.313 ,1
362,854.313 ,856.625 ,1
363,856.625 ,858.938 ,0
364,858.938 ,861.250 ,0
365,861.250 ,863.563 ,0
366,863.563 ,865.875 ,0
367,865.875 ,868.188 ,0
368,868.188 ,870.500 ,0
369,870.500 ,872.813 ,0
370,872.813 ,875.125 ,1
371,875.125 ,877.438 ,1
372,877.438 ,879.750 ,0
373,879.750 ,882.063 ,0
374,882.063 ,884.375 ,0
375,884.375 ,886.688 ,0
376,886.688 ,889.000 ,0
377,889.000 ,891.313 ,0
378,891.313 ,893.625 ,0
379,893.625 ,895.938 ,0
380,895.938 ,898.250 ,0
381,898.250 ,900.563 ,1
382,900.563 ,902.875 ,1
383,902.875 ,905.188 ,0
384,905.188 ,907.500 ,0
385,907.500 ,909.813 ,0
386,909.813 ,912.125 ,0
387,912.125 ,914.438 ,0
388,914.438 ,916.750 ,0
389,916.750 ,919.063 ,0
390,919.063 ,921.375 ,0
391,921.375 ,923.688 ,0
392,923.688 ,926.000 ,1
393,926.000 ,928.313 ,1
394,928.313 ,930.625 ,1
395,930.625 ,932.938 ,0
396,932.938 ,935.250 ,0
397,935.250 ,937.563 ,0
398,937.563 ,939.875 ,0
399,939.875 ,942.188 ,0
400,942.188 ,944.500 ,0
401,944.500 ,946.813 ,0
402,946.813 ,949.125 ,1
403,949.125 ,951.438 ,1
404,951.438 ,953.750 ,1
405,953.750 ,956.063 ,0
406,956.063 ,958.375 ,0
407,958.375 ,960.688 ,0
408,960.688 ,963.000 ,0
409,963.000 ,965.313 ,0
410,965.313 ,967.625 ,0
411,967.625 ,969.938 ,0
412,969.938 ,972.250 ,0
413,972.250 ,974.563 ,0
414,974.563 ,976.875 ,0
415,976.875 ,979.188 ,0
416,979.188 ,981.500 ,1
417,981.500 ,983.813 ,1
418,983.813 ,986.125 ,1
419,986.125 ,988.438 ,0
420,988.438 ,990.750 ,0
421,990.750 ,993.063 ,1
422,993.063 ,995.375 ,1
423,995.375 ,997.688 ,1
424,997.688 ,1000.000 ,1
425,1000.000 ,1002.313 ,1
426,1002.313 ,1004.625 ,1
427,1004.625 ,1006.938 ,1
